Date,Round,Amount,Leads
October 2023,Debt financing,240,State Bank of India
October 2023,Private equity,140,Temasek
May 2023,Private equity,300.26,Undisclosed
June 2022,Private equity,180.18,Undisclosed
December 2021,Series C extension,53,Temasek
September 2021,Series C,200,"Alpha Wave, SoftBank "
July 2021,Debt financing,88.87,Bank of Baroda
March 2020,Series B extension,1,Pawan Munjal Family Trust
September 2019,Corporate round,Undisclosed,"Hyundai, Kia"
July 2019,Series B,250,SoftBank